item,itemLabel,itemDescription,mwcode
http://www.wikidata.org/entity/Q451069,Giovanni Battista Cirri,Italian musician,M00000236713
http://www.wikidata.org/entity/Q451402,Valborg Aulin,Swedish pianist and composer (1860-1928),M00000242872
http://www.wikidata.org/entity/Q453110,Kurt Schwaen,German composer (1909-2007),M00000252559
http://www.wikidata.org/entity/Q454452,Egil Johansen,Norwegian-Swedish musician (1934-1998),M00000213656
http://www.wikidata.org/entity/Q454933,Leo Brouwer,"Cuban composer, conductor, and guitarist",M00000375129
http://www.wikidata.org/entity/Q455105,Johann Wilhelm Hässler,"German composer, organist, pianist",M00000273413
http://www.wikidata.org/entity/Q455980,Ua,Japanese singer,M00000130585
http://www.wikidata.org/entity/Q456004,Atli Örvarsson,Icelandic film score composer,M00000312940
http://www.wikidata.org/entity/Q456139,Ludovico Roncalli,Italian composer,M00000247507
http://www.wikidata.org/entity/Q456524,Paule Maurice,French composer,M00000238559
http://www.wikidata.org/entity/Q456983,Rudolf Mauersberger,German choral conductor and composer.,M00000250929
http://www.wikidata.org/entity/Q457425,Ellen Taaffe Zwilich,American composer,M00000240063
http://www.wikidata.org/entity/Q457759,Leon Stein,American composer,M00000239546
http://www.wikidata.org/entity/Q457802,Joan La Barbara,singer and composer,M00000238208
http://www.wikidata.org/entity/Q457883,Ikue Mori,Japanese drummer,M00000244098
http://www.wikidata.org/entity/Q458000,Heather Headley,Trinidadian-born singer,M00000102517
http://www.wikidata.org/entity/Q459556,Carmen Dragon,"American conductor, composer, and arranger (1914-1984)",M00000242020
http://www.wikidata.org/entity/Q461008,Cynthia Weil,American songwriter (1940–2023),M00000330194
http://www.wikidata.org/entity/Q461403,Juventino Rosas,"Mexican composer, violinist and band leader",M00000241507
http://www.wikidata.org/entity/Q462151,Gardner Read,American composer (1913-2005),M00000333976
http://www.wikidata.org/entity/Q463105,Julius Weismann,German composer and conductor,M00000264226
http://www.wikidata.org/entity/Q463308,Tania León,Cuban composer and conductor,M00000260402
http://www.wikidata.org/entity/Q464329,Johann Nikolaus Hanff,German composer and organist,M00000237667
http://www.wikidata.org/entity/Q465302,Martha Wash,American singer,M00000095906
http://www.wikidata.org/entity/Q465565,Giovanni Battista Bassani,"Italian composer, violinist and organist",M00000235914
http://www.wikidata.org/entity/Q467914,Mykola Leontovych,"Ukrainian composer, ethnomusicologist, and conductor",M00000292334
http://www.wikidata.org/entity/Q469262,Charlie Byrd,American jazz guitarist (1925–1999),M00000255942
http://www.wikidata.org/entity/Q470216,Matthias Reim,German singer,M00000094797
http://www.wikidata.org/entity/Q472663,F. R. David,French musician,M00000135476
http://www.wikidata.org/entity/Q472819,Hans Brachrogge,Danish composer,M00000300105
http://www.wikidata.org/entity/Q472895,Alexander O'Neal,American musical artist,M00000059432
http://www.wikidata.org/entity/Q473515,Hermann Finck,German composer,M00000254536
http://www.wikidata.org/entity/Q474103,Johann Franz Xaver Sterkel,German composer and pianist (1750-1817),M00000239553
http://www.wikidata.org/entity/Q483507,Kelly Clarkson,"American singer, songwriter, author, and television personality",M00000174594
http://www.wikidata.org/entity/Q483907,Jack Black,American actor and musician,M00000122695
http://www.wikidata.org/entity/Q484817,Pierre Certon,French composer,M00000236643
http://www.wikidata.org/entity/Q485275,Masao Koga,Japanese musician,M00000514117
http://www.wikidata.org/entity/Q487355,Lennie Hayton,American composer and conductor (1908-1971),M00000001886
http://www.wikidata.org/entity/Q487472,Anatol Vieru,Romanian composer (1926–1998),M00000239814
http://www.wikidata.org/entity/Q487991,Anatoli Komarowski,Russian composer (1909-1955),M00000442173
http://www.wikidata.org/entity/Q488305,Guillermo Uribe Holguín,Colombian musician,M00000378082
http://www.wikidata.org/entity/Q488603,Scott Walker,"British-American singer-songwriter, composer and record producer (1943-2019)",M00000062250
http://www.wikidata.org/entity/Q490205,Pierre Gaviniès,"French violin maker, violinist and composer",M00000242160
http://www.wikidata.org/entity/Q490290,Calvin Russell,American musician,M00000020308
http://www.wikidata.org/entity/Q491089,Sonny Fortune,American saxophonist,M00000266096
http://www.wikidata.org/entity/Q491093,Anders Jormin,Swedish musician,M00000277885
http://www.wikidata.org/entity/Q491400,Georgie Auld,Canadian jazz musician (1919-1990),M00000024330
http://www.wikidata.org/entity/Q493773,Diego Ortiz,Spanish composer and music theorist,M00000247835
http://www.wikidata.org/entity/Q494280,Andrea Lorenzo Scartazzini,Swiss composer,M00000275328
http://www.wikidata.org/entity/Q495819,Andreas Anton Schmelzer,Austrian violinist and composer,M00000430726
